name,size,percent_used,index_scans,seq_scans,unused
public.idx_profile_views_viewed_profile,16 kB,100%,11,0,f
public.idx_user_moderation_user,16 kB,100%,1016,0,f
public.subscriptions_stripe_customer_id_key,16 kB,0%,0,0,t
public.unique_application,16 kB,0%,0,0,t
public.conversations_pkey,16 kB,100%,4353,0,f
public.idx_job_applications_status,16 kB,0%,0,0,t
public.idx_certifications_user_id,16 kB,100%,231,0,f
public.messages_pkey,16 kB,100%,21,0,f
public.idx_subscriptions_user_id,16 kB,100%,544,0,f
public.experiences_pkey,16 kB,100%,21,0,f
public.job_applications_pkey,16 kB,100%,41,0,f
public.idx_messages_sender_id,16 kB,100%,64,0,f
public.idx_profiles_is_profile_boosted,16 kB,100%,1,0,f
public.idx_profile_views_viewer_id,16 kB,100%,55,0,f
public.profile_views_pkey,16 kB,100%,36,0,f
public.idx_work_experience_user_id,16 kB,100%,104,0,f
public.idx_jobs_trade,16 kB,0%,0,0,t
public.idx_profiles_trade,16 kB,0%,0,0,t
public.subscriptions_user_id_key,16 kB,0%,0,0,t
public.admin_activity_log_pkey,16 kB,100%,17,0,f
public.idx_job_applications_worker_created,16 kB,100%,300,0,f
public.idx_user_moderation_expires,16 kB,0%,0,0,t
public.subscriptions_stripe_subscription_id_key,16 kB,100%,5,0,f
public.idx_jobs_employer_id,16 kB,100%,125,0,f
public.idx_admin_activity_date,16 kB,100%,3,0,f
public.idx_profile_views_viewed_profile_id,16 kB,100%,2325,0,f
public.idx_profiles_role,16 kB,0%,0,0,t
public.certifications_pkey,16 kB,100%,43,0,f
public.idx_jobs_status,16 kB,100%,72,0,f
public.subscriptions_pkey,16 kB,100%,24,0,f
public.idx_endorsement_requests_experience_id,8192 bytes,0%,0,0,t
public.idx_content_reports_status,8192 bytes,100%,43,0,f
public.idx_analytics_events_type,8192 bytes,0%,0,0,t
public.idx_endorsements_experience_id,8192 bytes,100%,7,0,f
public.unique_endorsement_request,8192 bytes,0%,0,0,t
public.endorsements_pkey,8192 bytes,100%,20,0,f
public.unique_endorsement,8192 bytes,0%,0,0,t
public.idx_job_views_user_id,8192 bytes,100%,64,0,f
public.notifications_pkey,8192 bytes,100%,43,0,f
public.endorsement_requests_pkey,8192 bytes,100%,19,0,f
public.idx_analytics_events_user,8192 bytes,100%,54,0,f
public.idx_endorsements_endorsed_by_user_id,8192 bytes,100%,54,0,f
public.idx_profiles_coords,8192 bytes,100%,5,0,f
public.idx_notifications_user_unread,8192 bytes,100%,3008,0,f
public.idx_content_reports_reporter,8192 bytes,100%,54,0,f
public.unique_alert,8192 bytes,0%,0,0,t
public.idx_portfolio_images_user_id,8192 bytes,100%,32,0,f
public.job_views_pkey,8192 bytes,100%,27,0,f
public.content_reports_pkey,8192 bytes,100%,19,0,f
public.idx_notifications_read,8192 bytes,100%,18,0,f
public.unique_view,8192 bytes,0%,0,0,t
public.idx_job_views_viewer_id,8192 bytes,100%,54,0,f
public.idx_notifications_created_at,8192 bytes,0%,0,0,t
public.idx_content_reports_date,8192 bytes,0%,0,0,t
public.idx_profiles_lifetime_pro,8192 bytes,0%,0,0,t
public.idx_notifications_read_at,8192 bytes,100%,336,0,f
public.idx_endorsement_requests_employer_id,8192 bytes,100%,54,0,f
public.unique_user_order,8192 bytes,0%,0,0,t
public.portfolio_images_pkey,8192 bytes,100%,3,0,f
public.proximity_alerts_pkey,8192 bytes,100%,26,0,f
public.analytics_events_pkey,8192 bytes,100%,12,0,f
public.idx_job_views_job_id,8192 bytes,100%,21,0,f
public.idx_notifications_user_id,8192 bytes,0%,0,0,t
public.idx_jobs_coords,8192 bytes,0%,0,0,t
public.idx_analytics_events_date,8192 bytes,0%,0,0,t
public.idx_content_reports_reported_user,8192 bytes,100%,54,0,f
public.idx_endorsement_requests_worker_id,8192 bytes,100%,54,0,f
public.idx_proximity_alerts_job_id,8192 bytes,100%,13,0,f
public.idx_job_views_session,8192 bytes,100%,15,0,f
public.idx_proximity_alerts_user_id,8192 bytes,100%,78,0,f
